iso3,country,region,hrp_country,lat,lon,indicator_name,indicator_source,indicator_id,date,alert_level_numeric,alert_level,value,plot_title,plot_id,plot_url,map_title,map_id,map_url,plot2_title,plot2_id,plot2_url,other_images_ids,other_images_urls,other_images_captions,summary_long,summary_short,hdx_url,source_url,other_urls,further_information,template_id_archive,template_id_email,campaign_id_archive,campaign_id_email,campaign_url_archive,campaign_url_email,campaign_date,campaign_summary,triage_approver,triage_time
AFG,Afghanistan,Asia and the Pacific,TRUE,33.85635553101048,65.97208293943936,drought_hotspots,jrc,jrc_drought_hotspots,2017-03-11,1,Medium concern,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002709,NA,f9a645eda0,NA,http://eepurl.com/iO88X6,NA,2017-03-11,NA,NA,NA
AFG,Afghanistan,Asia and the Pacific,TRUE,33.85635553101048,65.97208293943936,drought_hotspots,jrc,jrc_drought_hotspots,2018-02-11,1,Medium concern,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002753,NA,53fd3fe277,NA,http://eepurl.com/iO89fc,NA,2018-02-11,NA,NA,NA
AFG,Afghanistan,Asia and the Pacific,TRUE,33.85635553101048,65.97208293943936,drought_hotspots,jrc,jrc_drought_hotspots,2018-05-11,2,High concern,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002765,NA,58162b897f,NA,http://eepurl.com/iO89kE,NA,2018-05-11,NA,NA,NA
AFG,Afghanistan,Asia and the Pacific,TRUE,33.85635553101048,65.97208293943936,drought_hotspots,jrc,jrc_drought_hotspots,2021-04-11,1,Medium concern,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002869,NA,5a3c722f65,NA,http://eepurl.com/iO892g,NA,2021-04-11,NA,NA,NA
AFG,Afghanistan,Asia and the Pacific,TRUE,33.85635553101048,65.97208293943936,drought_hotspots,jrc,jrc_drought_hotspots,2021-11-11,2,High concern,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002889,NA,bbbdf5152f,NA,http://eepurl.com/iO89-E,NA,2021-11-11,NA,NA,NA
AGO,Angola,Southern and Eastern Africa,FALSE,-12.281168417459984,17.541717052215557,drought_hotspots,jrc,jrc_drought_hotspots,2016-11-11,1,Medium concern,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002693,NA,cfa890974a,NA,http://eepurl.com/iO88Rg,NA,2016-11-11,NA,NA,NA
AGO,Angola,Southern and Eastern Africa,FALSE,-12.281168417459984,17.541717052215557,drought_hotspots,jrc,jrc_drought_hotspots,2017-11-11,1,Medium concern,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002741,NA,c03de83b39,NA,http://eepurl.com/iO88_A,NA,2017-11-11,NA,NA,NA
AGO,Angola,Southern and Eastern Africa,FALSE,-12.281168417459984,17.541717052215557,drought_hotspots,jrc,jrc_drought_hotspots,2018-12-21,1,Medium concern,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002793,NA,a3ceeb85c9,NA,http://eepurl.com/iO89vw,NA,2018-12-21,NA,NA,NA
AGO,Angola,Southern and Eastern Africa,FALSE,-12.281168417459984,17.541717052215557,drought_hotspots,jrc,jrc_drought_hotspots,2019-10-11,1,Medium concern,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002817,NA,ec3a99359e,NA,http://eepurl.com/iO89GM,NA,2019-10-11,NA,NA,NA
AGO,Angola,Southern and Eastern Africa,FALSE,-12.281168417459984,17.541717052215557,drought_hotspots,jrc,jrc_drought_hotspots,2021-01-11,1,Medium concern,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002857,NA,770c34a87e,NA,http://eepurl.com/iO89Yk,NA,2021-01-11,NA,NA,NA
